country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
Afghanistan,AFG,2021-05-11,504502,448878,55624,12,40094444,1.119551627
Afghanistan,AFG,2021-05-20,547901,470341,77560,10,40094444,1.173082734
Afghanistan,AFG,2021-05-24,573277,476367,96910,10,40094444,1.188112248
Afghanistan,AFG,2021-05-26,590454,479372,111082,19,40094444,1.195607052
Afghanistan,AFG,2021-05-27,593313,479574,113739,14,40094444,1.196110863
Afghanistan,AFG,2021-05-30,600152,480226,119926,20,40094444,1.197737023
Afghanistan,AFG,2021-06-02,626290,481690,144600,34,40094444,1.201388402
Afghanistan,AFG,2021-06-03,630305,481800,148505,27,40094444,1.201662754
Afghanistan,AFG,2021-06-08,641295,482952,158343,64,40094444,1.20453597
Afghanistan,AFG,2021-06-14,662003,484737,177266,85,40094444,1.208987959
Afghanistan,AFG,2021-06-22,765890,582128,183762,78,40094444,1.451891938
Afghanistan,AFG,2021-06-27,835694,649434,186260,56,40094444,1.619760583
Afghanistan,AFG,2021-06-30,886854,699200,187654,77,40094444,1.743882519
Afghanistan,AFG,2021-07-05,915671,726349,189322,84,40094444,1.811595143
Afghanistan,AFG,2021-07-07,934463,735213,199250,55,40094444,1.833702944
Afghanistan,AFG,2021-07-11,962093,742934,219159,86,40094444,1.852959976
Afghanistan,AFG,2021-08-20,1201286,770542,430744,7,40094444,1.921817397
Albania,ALB,2021-02-02,550,549,1,13,2871380,0.019119726
Albania,ALB,2021-02-09,1127,689,438,12,2871380,0.023995431
Albania,ALB,2021-02-17,1701,1090,611,15,2871380,0.037960841
Albania,ALB,2021-02-18,3049,2438,611,18,2871380,0.084906909
Albania,ALB,2021-02-22,6728,6073,655,13,2871380,0.21150109
Albania,ALB,2021-05-11,622507,440921,181586,4,2871380,15.35571746
Albania,ALB,2021-05-12,632676,444755,187921,4,2871380,15.48924211
Albania,ALB,2021-05-13,638338,445402,192936,3,2871380,15.51177483
Albania,ALB,2021-05-14,653330,448571,204759,3,2871380,15.62213988
Albania,ALB,2021-05-17,680083,456980,223103,3,2871380,15.91499558
Albania,ALB,2021-05-18,688947,460191,228756,3,2871380,16.02682334
Albania,ALB,2021-05-19,697811,463402,234409,1,2871380,16.1386511
Albania,ALB,2021-05-20,703743,466083,237660,2,2871380,16.23202084
Albania,ALB,2021-05-21,708846,469169,239677,2,2871380,16.33949529
Albania,ALB,2021-05-23,716616,472840,243776,1,2871380,16.46734323
Albania,ALB,2021-05-24,725135,475237,249898,2,2871380,16.55082225
Albania,ALB,2021-05-26,748986,479789,269197,2,2871380,16.7093523
Albania,ALB,2021-05-27,759043,481788,277255,0,2871380,16.77897039
Albania,ALB,2021-05-30,772204,485162,287042,1,2871380,16.89647487
Albania,ALB,2021-05-31,776461,486128,290333,1,2871380,16.93011723
Albania,ALB,2021-06-01,780342,487078,293264,1,2871380,16.96320236
Albania,ALB,2021-06-03,787321,490050,297271,0,2871380,17.0667066
Albania,ALB,2021-06-06,798624,492522,306102,0,2871380,17.15279761
Albania,ALB,2021-06-07,803682,493346,310336,0,2871380,17.18149461
Albania,ALB,2021-06-08,809992,494437,315555,1,2871380,17.21949028
Albania,ALB,2021-06-09,816556,496024,320532,0,2871380,17.27475987
Albania,ALB,2021-06-10,823053,498437,324616,0,2871380,17.35879612
Albania,ALB,2021-06-11,830281,501735,328546,0,2871380,17.47365378
Albania,ALB,2021-06-12,834868,503721,331147,1,2871380,17.54281913
Albania,ALB,2021-06-13,836430,504257,332173,0,2871380,17.56148611
Albania,ALB,2021-06-14,842535,507764,334771,0,2871380,17.68362251
Albania,ALB,2021-06-15,848430,507854,340576,0,2871380,17.68675689
Albania,ALB,2021-06-16,854227,509282,344945,1,2871380,17.73648907
Albania,ALB,2021-06-17,862628,511175,351453,0,2871380,17.80241556
Albania,ALB,2021-06-20,880912,515884,365028,0,2871380,17.96641336
Albania,ALB,2021-06-21,890052,519674,370378,0,2871380,18.09840564
Albania,ALB,2021-06-22,901429,525800,375629,1,2871380,18.31175254
Albania,ALB,2021-06-23,912874,532225,380649,0,2871380,18.53551254
Albania,ALB,2021-06-24,922886,537018,385868,0,2871380,18.70243576
Albania,ALB,2021-06-28,943439,547300,396139,0,2871380,19.06052142
Albania,ALB,2021-06-29,955498,556252,399246,0,2871380,19.37228789
Albania,ALB,2021-06-30,968034,564530,403504,0,2871380,19.66058132
Albania,ALB,2021-07-01,974486,567084,407402,0,2871380,19.7495281
Albania,ALB,2021-07-02,981499,569352,412147,0,2871380,19.82851451
Albania,ALB,2021-07-04,988550,571759,416791,0,2871380,19.9123418
Albania,ALB,2021-07-05,994081,574187,419894,0,2871380,19.99690045
Albania,ALB,2021-07-06,1000063,576905,423158,0,2871380,20.09155876
Albania,ALB,2021-07-07,1005663,579552,426111,0,2871380,20.1837444
Albania,ALB,2021-07-08,1011297,582106,429191,0,2871380,20.27269118
Albania,ALB,2021-07-09,1016554,584832,431722,0,2871380,20.36762811
Albania,ALB,2021-07-10,1021408,587238,434170,0,2871380,20.45142057
Albania,ALB,2021-07-11,1022802,587876,434926,0,2871380,20.47363985
Albania,ALB,2021-07-12,1029234,590476,438758,0,2871380,20.56418865
Albania,ALB,2021-07-13,1035667,592502,443165,0,2871380,20.63474706
Albania,ALB,2021-07-14,1043499,594669,448830,0,2871380,20.71021599
Albania,ALB,2021-07-15,1052108,596977,455131,0,2871380,20.79059546
Albania,ALB,2021-07-16,1060042,599387,460655,0,2871380,20.87452723
Albania,ALB,2021-07-17,1067135,601701,465434,0,2871380,20.95511566
Albania,ALB,2021-07-18,1069365,602460,466905,0,2871380,20.98154894
Albania,ALB,2021-07-20,1082424,609538,472886,0,2871380,21.22805062
Albania,ALB,2021-07-21,1095453,616592,478861,0,2871380,21.47371647
Albania,ALB,2021-07-22,1109785,624490,485295,0,2871380,21.74877585
Albania,ALB,2021-07-25,1138771,640047,498724,0,2871380,22.29057108
Albania,ALB,2021-07-29,1179769,660756,519013,1,2871380,23.01179224
Albania,ALB,2021-07-30,1190847,665632,525215,0,2871380,23.18160606
Albania,ALB,2021-07-31,1198933,670215,528718,0,2871380,23.34121572
Albania,ALB,2021-08-01,1203087,672765,530322,0,2871380,23.43002319
Albania,ALB,2021-08-02,1212761,677938,534823,0,2871380,23.61018047
Albania,ALB,2021-08-03,1221640,683052,538588,0,2871380,23.78828299
Albania,ALB,2021-08-04,1229405,687768,541637,0,2871380,23.95252457
Albania,ALB,2021-08-05,1238036,693000,545036,0,2871380,24.13473661
Albania,ALB,2021-08-08,1259952,706470,553482,1,2871380,24.60384902
Albania,ALB,2021-08-10,1280239,720232,560007,1,2871380,25.08313076
Albania,ALB,2021-08-13,1309995,742540,567455,0,2871380,25.86003942
Albania,ALB,2021-08-15,1321198,750965,570233,2,2871380,26.15345235
Albania,ALB,2021-08-16,1330754,757938,572816,1,2871380,26.39629725
Albania,ALB,2021-08-17,1340339,764997,575342,2,2871380,26.64213723
Albania,ALB,2021-08-19,1358228,776986,581242,3,2871380,27.05967166
Albania,ALB,2021-08-21,1373349,785724,587625,2,2871380,27.36398526
Albania,ALB,2021-08-22,1376763,787510,589253,2,2871380,27.42618532
Albania,ALB,2021-08-23,1386713,792663,594050,1,2871380,27.60564607
Albania,ALB,2021-08-24,1396390,797441,598949,0,2871380,27.77204689
Albania,ALB,2021-08-25,1405653,802394,603259,2,2871380,27.94454235
Albania,ALB,2021-08-26,1415907,807368,608539,3,2871380,28.11776916
Albania,ALB,2021-08-27,1427977,812555,615422,3,2871380,28.298414
Albania,ALB,2021-08-29,1444764,818955,625809,3,2871380,28.52130335
Albania,ALB,2021-08-30,1458048,824170,633878,2,2871380,28.70292333
Albania,ALB,2021-08-31,1472316,830396,641920,3,2871380,28.91975287
Albania,ALB,2021-09-01,1485250,836613,648637,3,2871380,29.13626897
